"interaction","cell1","cell2","p-value"
"WNT8B_FZD3_LRP5","B Cell","Macrophage","0"
"WNT8B_FZD3_LRP5","Macrophage","Macrophage","0"
"WNT8B_FZD3_LRP5","NK Cell","Macrophage","0"
"WNT8B_FZD3_LRP5","T Cell","Macrophage","0"
"WNT8B_FZD4_LRP5","B Cell","Macrophage","0"
"WNT8B_FZD4_LRP5","Macrophage","Macrophage","0"
"WNT8B_FZD4_LRP5","NK Cell","Macrophage","0"
"WNT8B_FZD4_LRP5","T Cell","Macrophage","0"
"WNT8B_FZD5_LRP5","B Cell","Macrophage","0.03"
"WNT8B_FZD5_LRP5","Macrophage","Macrophage","0.02"
"WNT8B_FZD5_LRP5","NK Cell","Macrophage","0.01"
"WNT8B_FZD5_LRP5","T Cell","Macrophage","0"
"WNT8B_FZD5_LRP5","B Cell","NK Cell","0.04"
"WNT8B_FZD5_LRP5","Macrophage","NK Cell","0.03"
"WNT8B_FZD5_LRP5","NK Cell","NK Cell","0.04"
"WNT8B_FZD5_LRP5","T Cell","NK Cell","0.01"
"WNT8B_FZD6_LRP5","B Cell","Macrophage","0.01"
